tax_id	abundance	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	estimated counts
1333660	0.6044499281174548	Endozoicomonas atrinae	Endozoicomonas	Endozoicomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria				18033.763605384265
1698521	0.06248541547039234	Endozoicomonas ascidiicola	Endozoicomonas	Endozoicomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria				1864.2523705591555
1701104	0.060808303493884164	Endozoicomonas acroporae	Endozoicomonas	Endozoicomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria				1814.2157347400341
305900	0.006678525747034778	Endozoicomonas elysicola	Endozoicomonas	Endozoicomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria				199.2538156627826
1629334	0.0020144436026413195	Caedimonas varicaedens	Caedimonas	Caedimonadaceae	Holosporales	Alphaproteobacteria	Proteobacteria		Bacteria				60.10092488480377
354585	0.004256150592462833	Rickettsia gravesii	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria		Bacteria			spotted fever group	126.98225292612864
281120	0.03308164411203442	Candidatus Amoebophilus asiaticus	Candidatus Amoebophilus	Amoebophilaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				986.9908520825468
1137799	0.003271446350238441	Endozoicomonas numazuensis	Endozoicomonas	Endozoicomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria				97.60360185936389
2508687	0.0013569085697152756	Candidatus Thioglobus sp. NP1	Candidatus Thioglobus			Gammaproteobacteria	Proteobacteria		Bacteria				40.48336717745525
1427364	0.0009130425451998773	Candidatus Thioglobus singularis	Candidatus Thioglobus			Gammaproteobacteria	Proteobacteria		Bacteria				27.24062433603834
1076588	0.0019926145381461155	Thiolapillus brandeum	Thiolapillus			Gammaproteobacteria	Proteobacteria		Bacteria				59.449654745589356
1628392	0.0009035767821964004	Hahella sp. KA22	Hahella	Hahellaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria				26.95821329682961
1867040	0.0006452369351885201	Potamolinea aerugineo-caerulea	Potamolinea		Oscillatoriales		Cyanobacteria	Terrabacteria group	Bacteria				19.2506439613495
2546366	0.001258993502808106	Rippkaea orientalis	Rippkaea	Aphanothecaceae	Chroococcales		Cyanobacteria	Terrabacteria group	Bacteria				37.56207115627984
1165	0.0012759421430332176	Anabaena cylindrica	Anabaena	Nostocaceae	Nostocales		Cyanobacteria	Terrabacteria group	Bacteria				38.06773383739605
1173026	0.0037553242134123633	Gloeocapsa sp. PCC 7428	Gloeocapsa	Chroococcaceae	Chroococcales		Cyanobacteria	Terrabacteria group	Bacteria				112.04009790715786
241425	0.008399049387904861	Crinalium epipsammum	Crinalium	Gomontiellaceae	Oscillatoriales		Cyanobacteria	Terrabacteria group	Bacteria				250.58563848814154
1155739	0.007813911729813808	Moorea producens	Moorea	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Terrabacteria group	Bacteria				233.12805645899496
118323	0.0016164264745741595	Oscillatoria acuminata	Oscillatoria	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Terrabacteria group	Bacteria				48.22608386892005
2268451	0.011707937509353514	Candidatus Pelagibacter sp. FZCC0015	Candidatus Pelagibacter	Pelagibacteraceae	Pelagibacterales	Alphaproteobacteria	Proteobacteria		Bacteria				349.3063155915621
672157	0.0007003507834459497	Reinekea aestuarii	Reinekea	Saccharospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria				20.894965624109908
434084	0.003682824140981708	Marinobacterium marisflavi	Marinobacterium	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria				109.87705824618926
374837	0.003281817123676133	Marinomonas blandensis	Marinomonas	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria				97.91301388487743
1806667	0.003463858242951363	Marinomonas gallaica	Marinomonas	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria				103.3442106784539
404770	0.0009812455539075099	Marinobacterium litorale	Marinobacterium	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria				29.275461100830558
1440509	0.0006080175409856466	Laspinema etoshii	Laspinema	Microcoleaceae	Oscillatoriales		Cyanobacteria	Terrabacteria group	Bacteria				18.140203335306765
263511	0.0027044709062821995	Crocosphaera watsonii	Crocosphaera	Aphanothecaceae	Chroococcales		Cyanobacteria	Terrabacteria group	Bacteria				80.68788948892943
2546360	0.002058132188126435	Crocosphaera subtropica	Crocosphaera	Aphanothecaceae	Chroococcales		Cyanobacteria	Terrabacteria group	Bacteria				61.404373832752185
1124	0.0016596110050569254	Chlorogloeopsis fritschii	Chlorogloeopsis	Chlorogloeopsidaceae	Nostocales		Cyanobacteria	Terrabacteria group	Bacteria				49.51449433587337
